state_code,year,population
KS,1900,1473000
KS,1901,1490000
KS,1902,1505000
KS,1903,1498000
KS,1904,1527000
KS,1905,1555000
KS,1906,1576000
KS,1907,1612000
KS,1908,1629000
KS,1909,1658000
KS,1910,1692000
KS,1911,1684000
KS,1912,1671000
KS,1913,1663000
KS,1914,1662000
KS,1915,1687000
KS,1916,1727000
KS,1917,1748000
KS,1918,1729000
KS,1919,1756000
KS,1920,1769000
KS,1921,1779000
KS,1922,1799000
KS,1923,1808000
KS,1924,1807000
KS,1925,1825000
KS,1926,1836000
KS,1927,1836000
KS,1928,1850000
KS,1929,1867000
KS,1930,1883000
KS,1931,1881000
KS,1932,1883000
KS,1933,1877000
KS,1934,1868000
KS,1935,1872000
KS,1936,1869000
KS,1937,1856000
KS,1938,1842000
KS,1939,1824000
KS,1940,1788000
KS,1941,1765000
KS,1942,1760000
KS,1943,1796000
KS,1944,1779000
KS,1945,1731000
KS,1946,1805000
KS,1947,1853000
KS,1948,1892000
KS,1949,1925000
KS,1950,1916000
KS,1951,1950000
KS,1952,1977000
KS,1953,1994000
KS,1954,2042000
KS,1955,2093000
KS,1956,2119000
KS,1957,2128000
KS,1958,2142000
KS,1959,2160000
KS,1960,2183000
KS,1961,2215000
KS,1962,2231000
KS,1963,2217000
KS,1964,2209000
KS,1965,2206000
KS,1966,2200000
KS,1967,2197000
KS,1968,2216000
KS,1969,2236000
KS,1970,2249071
KS,1971,2246600
KS,1972,2256375
KS,1973,2265603
KS,1974,2269499
KS,1975,2280578
KS,1976,2301001
KS,1977,2320647
KS,1978,2335657
KS,1979,2350906
KS,1980,2369039
KS,1981,2384849
KS,1982,2401202
KS,1983,2415531
KS,1984,2424086
KS,1985,2427405
KS,1986,2432619
KS,1987,2445367
KS,1988,2461996
KS,1989,2472849
KS,1990,2480683
KS,1991,2495209
KS,1992,2526042
KS,1993,2547605
KS,1994,2569118
KS,1995,2586942
KS,1996,2598266
KS,1997,2616339
KS,1998,2638667
KS,1999,2654052
KS,2000,2693681
KS,2001,2702162
KS,2002,2713535
KS,2003,2723004
KS,2004,2734373
KS,2005,2745299
KS,2006,2762931
KS,2007,2783785
KS,2008,2808076
KS,2009,2832704
KS,2010,2858266
KS,2011,2869677
KS,2012,2886024
KS,2013,2894306
KS,2014,2901861
KS,2015,2910717
KS,2016,2912977
KS,2017,2910892
KS,2018,2912748
KS,2019,2912635
KS,2020,2938172
KS,2021,2938338
KS,2022,2937324
KS,2023,2951500
KS,2024,2970606
